timestamp,signal_jaw,signal_brow
80008,333,511
80023,378,506
80038,288,514
80054,447,497
80070,257,521
80086,381,518
80101,345,507
80116,304,501
80133,317,511
80148,363,506
80163,321,520
80179,332,508
80195,323,520
80210,325,521
80226,279,520
80241,280,513
80258,316,521
80273,296,514
80288,309,516
80304,319,522
80319,314,519
80335,318,513
80351,320,513
80366,322,518
80381,328,517
80398,329,512
80413,326,512
80429,330,512
80444,335,514
80460,332,515
80476,345,512
80491,344,510
80506,341,513
80523,345,512
80538,342,514
80553,346,508
80569,352,509
80584,353,516
80601,352,516
80616,347,509
80631,348,509
80647,345,514
80663,348,516
80678,349,510
80694,349,511
80709,350,513
80726,353,515
80741,347,515
80756,345,512
80772,349,513
80788,343,513
80803,343,517
80819,347,510
80834,339,509
80849,346,512
80866,346,512
80881,335,516
80897,346,509
80912,344,509
80928,341,512
80944,339,515
80959,342,514
80974,344,507
80991,340,512
81006,342,512
81021,339,515
81037,338,515
81052,334,516
81069,329,521
81084,331,529
81099,332,529
81115,330,528
81131,329,530
81146,332,535
81162,335,536
81177,329,534
81193,328,523
81209,336,530
81224,304,526
81240,464,527
81256,231,526
81271,324,537
81287,260,531
81302,340,542
81317,367,520
81334,290,513
81349,364,527
81364,270,514
81380,337,519
81396,363,505
81412,324,506
81427,326,518
81442,283,527
81459,282,521
81474,335,514
81489,316,508
81505,234,527
81521,332,508
81537,284,519
81552,310,509
81567,301,517
81583,298,517
81599,297,515
81614,303,514
81630,338,513
81645,321,516
81661,318,513
81677,321,508
81692,332,509
81708,324,511
81724,340,510
81739,338,506
81755,339,498
81770,348,498
81786,351,496
81802,346,497
81817,358,490
81832,353,494
81848,357,497
81864,357,501
81880,351,497
81895,351,493
81910,345,498
81927,345,501
81942,343,501
81957,344,498
81973,344,499
81989,342,501
82004,346,504
82020,345,501
82035,343,502
82051,344,504
82067,347,506
82082,348,508
82098,347,505
82113,348,504
82129,345,504
82145,345,512
82160,342,509
82176,344,504
82192,345,504
82207,340,510
82223,337,514
82238,336,511
82254,334,511
82270,332,514
82285,336,516
82300,332,518
82316,337,512
82332,336,514
82348,334,520
82363,342,517
82378,340,514
82395,337,514
82410,337,517
82425,335,521
82441,338,519
82457,359,504
82472,343,517
82488,368,517
82503,315,531
82520,354,521
82535,267,509
82550,295,518
82566,363,532
82581,276,520
82597,365,518
82613,316,520
82628,339,522
82643,352,519
82660,267,516
82675,324,522
82691,305,504
82706,313,524
82722,306,512
82738,307,523
82753,288,508
82768,305,516
82785,329,520
82800,273,512
82816,324,505
82831,315,512
82846,312,517
82863,309,514
82878,317,512
82893,316,509
82909,315,515
82925,315,517
82940,320,515
82956,321,508
82971,319,511
82988,326,516
83003,320,516
83018,333,514
83034,328,512
83049,330,517
83065,331,521
83081,335,517
83096,343,512
83111,337,514
83128,341,521
83143,343,515
83159,339,508
83174,342,506
83190,341,508
83206,342,507
83221,345,504
83236,355,502
83253,337,501
83268,336,504
83283,336,509
83299,340,506
83314,343,504
83331,339,508
83346,342,509
83361,343,510
83377,340,506
83393,340,511
83408,344,509
83424,342,510
83439,347,506
83456,344,504
83471,339,509
83486,341,511
83502,337,513
83518,332,508
83533,332,509
83549,330,514
83564,330,517
83579,331,514
83596,332,509
83611,330,511
83627,332,518
83642,325,516
83658,334,510
83674,330,510
83689,334,513
83704,339,511
83721,415,505
83736,350,515
83751,329,509
83767,351,515
83783,351,523
83799,306,512
83814,344,524
83829,311,516
83845,297,522
83861,321,521
83876,297,513
83892,337,518
83907,311,515
83923,372,514
83939,331,509
83954,296,514
83970,321,518
83986,300,516
84001,323,513
84017,297,510
84032,297,511
84047,301,514
84064,317,517
84079,322,512
84094,318,511
84110,325,514
84126,328,517
84142,331,511
84157,333,509
84172,334,515
84189,332,510
84204,336,513
84219,339,508
84235,340,506
84251,341,513
84267,345,512
84282,345,511
84297,355,510
84313,344,507
84329,345,514
84344,350,513
84360,347,511
84375,348,506
84391,344,510
84407,346,513
84422,345,514
84438,349,508
84454,345,507
84469,350,513
84485,342,516
